degree,h_avg
1.0,2.630815836034483
2.0,2.654688044042553
3.0,2.644546456415265
4.0,2.6466336860431294
5.0,2.6515495712457517
6.0,2.652533193636739
7.0,2.653676149838032
8.0,2.658874222168008
9.0,2.65814380514814
10.0,2.6594159761336784
11.0,2.6619102612766348
12.0,2.6617571785590908
13.0,2.662310965330612
14.0,2.6616998449000646
15.0,2.6627778033860485
16.0,2.6629625210474503
17.0,2.6620657305469386
18.0,2.663316525483411
19.0,2.6641493929020417
20.0,2.6637041858995096
21.0,2.6638813152680654
22.0,2.6631469316781486
23.0,2.663998683729569
24.0,2.663660284001767
25.0,2.6644706303327297
26.0,2.663599717079197
27.0,2.6646751608119867
28.0,2.664383424888626
29.0,2.6644603643023013
30.0,2.6651903998583806
31.0,2.665134813624523
32.0,2.664580378692666
33.0,2.664807104253712
34.0,2.6642939573560342
35.0,2.6644106333608364
36.0,2.6644729835718692
37.0,2.6651350320302303
38.0,2.6646716772810874
39.0,2.6635601734534675
40.0,2.665667047270833
41.0,2.664901176165772
42.0,2.6647780402402956
43.0,2.665639899647303
44.0,2.6643726889963637
45.0,2.6646712448214287
46.0,2.665081287637457
47.0,2.663744623931227
48.0,2.6656495216468254
49.0,2.6660279548396795
50.0,2.664629260190114
51.0,2.6638929915334946
52.0,2.6644881469224284
53.0,2.663614868656057
54.0,2.664949642477718
55.0,2.6664523007605343
56.0,2.666010006437008
57.0,2.6629985683315276
58.0,2.665817754351145
59.0,2.66635607063278
60.0,2.6667786916129033
61.0,2.6635598174452553
62.0,2.663841049141743
63.0,2.66434825362356
64.0,2.664042404138399
65.0,2.665365297986842
66.0,2.6647806171833084
67.0,2.666122311004304
68.0,2.664767349508197
69.0,2.667496383659711
70.0,2.6647485681570995
71.0,2.6655197873920553
72.0,2.6634494982495345
73.0,2.662288434293578
74.0,2.6650562885689046
75.0,2.6651871098987856
76.0,2.6627626468950747
77.0,2.6647350557834097
78.0,2.6657313949130437
79.0,2.6659934826881724
80.0,2.6642981049519228
81.0,2.6664265898633883
82.0,2.6636705982749325
83.0,2.6648186879154077
84.0,2.6611204698333335
85.0,2.667494695526316
86.0,2.661779337047244
87.0,2.662767415767442
88.0,2.669137718310502
89.0,2.6624300779452055
90.0,2.6664254322110557
91.0,2.6704905592156862
92.0,2.6631457509740257
93.0,2.661998289677419
94.0,2.6625274231875
95.0,2.663816157235772
96.0,2.6637421192771082
97.0,2.673006551875
98.0,2.66187504173913
99.0,2.6731590014285715
