degree,h_avg
1.0,2.66937662475
2.0,2.6723426246551725
3.0,2.671362318115831
4.0,2.671518598420515
5.0,2.673595005483449
6.0,2.6739207142590256
7.0,2.674402805163593
8.0,2.675018996181727
9.0,2.674681477283394
10.0,2.6743814460854987
11.0,2.674815076344186
12.0,2.674226944314139
13.0,2.67462804790587
14.0,2.6749780570842976
15.0,2.675175157475627
16.0,2.6763653740107736
17.0,2.6749199539252606
18.0,2.6752775231906534
19.0,2.6751846729357798
20.0,2.676182657352584
21.0,2.675487136273826
22.0,2.675352174577426
23.0,2.675467951826513
24.0,2.6751856077998633
25.0,2.6762990896608265
26.0,2.6765421120737978
27.0,2.6758137563705104
28.0,2.6763648496802737
29.0,2.675487614417355
30.0,2.6768013064099785
31.0,2.675638320621585
32.0,2.6759628802735413
33.0,2.6757755558689382
34.0,2.6760353000758133
35.0,2.676273597287818
36.0,2.6759985573178104
37.0,2.675761267037422
38.0,2.67633933148
39.0,2.6759422305936496
40.0,2.6762618518356733
41.0,2.676864487070312
42.0,2.6752966085400116
43.0,2.6767068371997205
44.0,2.6759217504890893
45.0,2.676467029691308
46.0,2.675771852412354
47.0,2.674328610588776
48.0,2.675232150071722
49.0,2.675661494072948
50.0,2.6763335715486383
51.0,2.6756447190488006
52.0,2.678899707136895
53.0,2.6760759009634256
54.0,2.6760826015561694
55.0,2.675401201094481
56.0,2.677372883093093
57.0,2.6775043602946953
58.0,2.6755388273416405
59.0,2.676434019772973
60.0,2.676356419381068
61.0,2.6768115717283956
62.0,2.6753126177278252
63.0,2.675444634677835
64.0,2.6761600081515957
65.0,2.6770768053515064
66.0,2.676006191289398
67.0,2.675364602923538
68.0,2.67474616975976
69.0,2.6779714686956524
70.0,2.6767277547118646
71.0,2.675865280808581
72.0,2.675355599981413
73.0,2.675924972425829
74.0,2.675732974742451
75.0,2.67651465131528
76.0,2.6761211110526313
77.0,2.6783194892825115
78.0,2.678380037227273
79.0,2.676981257404762
80.0,2.675639127873832
81.0,2.676762901804123
82.0,2.6733776999999996
83.0,2.6755423485478547
84.0,2.6736603834838713
85.0,2.674179819726027
86.0,2.675569323304721
87.0,2.6765095440145985
88.0,2.6764796135416664
89.0,2.6765337750746268
90.0,2.67841478445
91.0,2.6775085819499997
92.0,2.6754663063690476
93.0,2.677821589052632
94.0,2.6749521041333333
95.0,2.6772241052542376
96.0,2.6741807184415585
97.0,2.6748587566666666
98.0,2.6818365306666663
99.0,2.6582376966666668
